Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f88.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f98.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364fa8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364fc8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364fd8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364ff8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365008.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365018.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365028.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365038.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365048.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365058.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365078.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365088.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1365098.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x13650a8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x13650b8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x13650c8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x13650f8.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x136526c.
[inc/Array.h]{reserve}(186) 20 bytes leak in adress 0x1365328.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136546c.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x136564c.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x13657ac.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136586c.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x136666c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x13668ac.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x1366a8c.
[inc/Array.h]{reserve}(186) 21 bytes leak in adress 0x1366ce8.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x1366d44.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1366d5c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x1366d74.
[inc/Array.h]{reserve}(186) 9 bytes leak in adress 0x1366d88.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x1366da4.
[inc/Variant.h]{clone}(68) 8 bytes leak in adress 0x1366dbc.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1366dd4.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x1366e04.
[inc/List.h]{Node}(40) 12 bytes leak in adress 0x1366e1c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1366e64.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1366edc.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1366f6c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x1366ffc.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x1367014.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x136705c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x1367074.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x136708c.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x13670a0.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x13670bc.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x13670d4.
[inc/Array.h]{reserve}(186) 12 bytes leak in adress 0x13670e8.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136750c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x13681ec.
